"game_id","season","type","date_time","away_team_id","home_team_id","away_goals","home_goals","outcome","home_rink_side_start","venue","venue_link","venue_time_zone_id","venue_time_zone_offset","venue_time_zone_tz"
"2012030221","20122013","P",2013-05-16,"3","6",2,3,"home win OT","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"

-Team Ids: 20, 21, 24
- "24" v "21"
"2012020139","20122013","R",2013-02-07,"24","21",3,0,"away win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"

"2013020006","20132014","R",2013-10-03,"24","21",1,6,"home win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2013021003","20132014","R",2014-03-15,"24","21",6,4,"away win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"

"2014020168","20142015","R",2014-11-03,"24","21",3,2,"away win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"

"2015021004","20152016","R",2016-03-10,"24","21",0,3,"home win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2015021219","20152016","R",2016-04-09,"24","21",5,3,"away win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"

"2016020630","20162017","R",2017-01-13,"24","21",4,1,"away win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"

"2017020684","20172018","R",2018-01-15,"24","21",1,3,"home win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2017020060","20172018","R",2017-10-14,"24","21",1,3,"home win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
- "21" v "24"
"2012020269","20122013","R",2013-02-25,"21","24",3,4,"home win OT","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2012020595","20122013","R",2013-04-11,"21","24",4,1,"away win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"

"2013021229","20132014","R",2014-04-14,"21","24",2,3,"home win OT","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"

"2014021165","20142015","R",2015-04-04,"21","24",4,2,"away win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014021065","20142015","R",2015-03-21,"21","24",2,3,"home win OT","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"

"2015020063","20152016","R",2015-10-17,"21","24",3,0,"away win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"

"2016020683","20162017","R",2017-01-20,"21","24",1,2,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2016020753","20162017","R",2017-02-01,"21","24",1,5,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"

"2017021222","20172018","R",2018-04-02,"21","24",3,4,"home win OT","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"


- "24" v "20"
"2012020659","20122013","R",2013-04-20,"24","20",1,3,"home win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2012020026","20122013","R",2013-01-22,"24","20",5,4,"away win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"

"2013021091","20132014","R",2014-03-27,"24","20",3,2,"away win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2013020988","20132014","R",2014-03-13,"24","20",2,7,"home win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"

"2014030243","20142015","P",2015-05-06,"24","20",3,4,"home win OT","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014030244","20142015","P",2015-05-09,"24","20",4,2,"away win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020275","20142015","R",2014-11-19,"24","20",3,4,"home win SO","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014021001","20142015","R",2015-03-12,"24","20",3,6,"home win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020871","20142015","R",2015-02-21,"24","20",6,3,"away win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"

"2015020841","20152016","R",2016-02-15,"24","20",6,4,"away win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2015020548","20152016","R",2015-12-30,"24","20",1,0,"away win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"

"2016030173","20162017","P",2017-04-18,"24","20",5,4,"away win OT","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2016030174","20162017","P",2017-04-20,"24","20",3,1,"away win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2016020375","20162017","R",2016-12-05,"24","20",3,8,"home win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2016021174","20162017","R",2017-04-03,"24","20",4,3,"away win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2016020541","20162017","R",2016-12-30,"24","20",3,1,"away win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"

"2017020640","20172018","R",2018-01-07,"24","20",2,3,"home win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2017021135","20172018","R",2018-03-22,"24","20",4,0,"away win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"

- "20" v "24"
"2012020354","20122013","R",2013-03-09,"20","24",0,4,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2013020095","20132014","R",2013-10-17,"20","24",2,3,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"

"2013020384","20132014","R",2013-11-29,"20","24",2,5,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"

"2014030241","20142015","P",2015-05-01,"20","24",1,6,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014030242","20142015","P",2015-05-04,"20","24",0,3,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014030245","20142015","P",2015-05-11,"20","24",2,3,"home win OT","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020695","20142015","R",2015-01-22,"20","24",3,6,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020322","20142015","R",2014-11-26,"20","24",2,3,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"

"2015020316","20152016","R",2015-11-25,"20","24",3,5,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2015020887","20152016","R",2016-02-22,"20","24",2,5,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2015021151","20152016","R",2016-03-31,"20","24",3,8,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"

"2016030171","20162017","P",2017-04-14,"20","24",2,3,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2016030172","20162017","P",2017-04-16,"20","24",2,3,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2016020179","20162017","R",2016-11-07,"20","24",1,4,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2016021189","20162017","R",2017-04-05,"20","24",1,3,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"

"2017020586","20172018","R",2017-12-30,"20","24",1,2,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2017020038","20172018","R",2017-10-10,"20","24",2,0,"away win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
